标准名,标准类型,标准性质,标准状态_x,起草单位,起草人,基本信息_x,相近标准,标准详情,标准英文名,基本信息_y,相关图书,英文名,标准状态_y,标准目录,标准范围,标准引用文件,标准术语,标准内容
航天器热真空试验方法,国家标准计划,制订,推荐性,['北京卫星环境工程研究所'],"['刘畅', '常静', '杨晓宁', '魏传锋', '刘波', '韦锡峰', '彭光东', '杜春林', '于新战', '陶涛']","[('计划号', '20142402-T-520'), ('制修订', '制订'), ('项目周期', '60个月'), ('下达日期', '2014-12-23'), ('标准类别', '方法'), ('中国标准分类号', 'V70'), ('国际标准分类号', ' '), ('归口单位', ['全国宇航技术及其应用标准化技术委员会']), ('执行单位', ['全国宇航技术及其应用标准化技术委员会航天总装测试与试验分会']), ('主管部门', ['国家标准化管理委员会'])]","{'标准号': ['GB/T 34522-2017 ', ' ', '20142405-T-520 ', 'GB/T 34516-2017 ', '20213408-T-469 ', '20142401-T-520 ', 'GB/T 34515-2017 ', ' ', '20180858-T-469 ', 'GB/T 38201-2019 '], '标准名': ['航天器热真空试验方法', '航天器通用试验方法', '航天器振动试验方法', '航天器振动试验方法', '航天器通用试验方法', '航天器热平衡试验方法', '航天器热平衡试验方法', '航天器产品常压热试验方法', '航天器常压热性能试验方法', '航天器常压热性能试验方法'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8266AD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=BA2EF087F7B24A5EE05397BE0A0AAF57', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E80F4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D82660D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EC9EAA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E5D34A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D8267AD3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=5DDA8B9DC14418DEE05397BE0A0A95A7', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EAE96A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=95A47695C4EE4F2CE05397BE0A0AB3E0']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=,Thermal vacuum test method for spacecraft,"{'标准号': 'GB/T 34522-2017', '标准性质': '推荐性', '发布日期': '2017-11-01', '实施日期': '2018-05-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '刘畅; 常静; 杨晓宁; 魏传锋; 刘波; 韦锡峰; 彭光东; 杜春林; 于新战; 陶涛', '起草单位': '', '标准技术委员会': '全国宇航技术及其应用标准化技术委员会(SAC/TC 425)', '中国标准分类号': 'V70', '国际标准分类号': '49_020', '总页数': '16', '纸质版定价': '18'}","{'书名': ['第一届空中交通管理系统技术学术年会论文集', '基于涵道式单旋翼的无人飞行器研究', '航空保障装备系统工程', '天空地一体化自组织网络导航技术及应用'], '作者': ['中国指挥与控制学会', '任小璐', '张亮 等', '巩应奎 薛瑞']}",,,,,,,
航天器空间环境术语,国家标准计划,制订,推荐性,"['北京卫星环境工程研究所', '北京大学地球与空间科学学院', '中国科学院空间科学应用与研究中心', '中国航天标准化研究所']","['刘向鹏', '丁义刚', '田东波', '童靖宇', '刘宇明', '向树红', '焦维新', '都亨', '张小达', '肖京华']","[('计划号', '20131890-T-520'), ('制修订', '制订'), ('项目周期', '12个月'), ('下达日期', '2014-01-24'), ('标准类别', '基础'), ('中国标准分类号', 'V70'), ('国际标准分类号', ' '), ('归口单位', ['全国宇航技术及其应用标准化技术委员会']), ('执行单位', ['全国宇航技术及其应用标准化技术委员会空间环境分会']), ('主管部门', ['国家标准化管理委员会'])]","{'标准号': ['GB/T 32452-2015 ', '20204108-T-491 ', 'GB/T 41458-2022 ', ' ', '20193277-T-469 ', '20204094-T-491 ', '20120079-T-520 ', 'GB/T 29084-2012 ', '20203743-T-469 ', ' '], '标准名': ['航天器空间环境术语', '空间环境 产生航天器表面最恶劣电位差的等离子体环境', '空间环境 产生航天器表面最恶劣电位差的等离子体环境', '航天器电推进技术术语', '航天器电推进技术术语', '空间环境 航天材料空间环境效应模拟试验通用规范', '航天器接地要求', '航天器接地要求', '航天术语  空间数据与信息传输', '航天器用导热硅脂规范'], '标准网址': ['http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D80F36D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EC0F3A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=DD3D95E5C0D071EBE05397BE0A0AF33F', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=6A037FDDDD800BABE05397BE0A0AEC8E', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EAAB4A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBE7FA3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673E4D64A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D803C6D3A7E05397BE0A0AB82A', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=E116673EBD99A3B7E05397BE0A0AC6BF', 'http://std.samr.gov.cn/gb/search/gbDetailed?id=6A03B9183F7E2763E05397BE0A0AB285']}",http://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=,Terminology of space environment for spacecraft,"{'标准号': 'GB/T 32452-2015', '标准性质': '推荐性', '发布日期': '2015-12-31', '实施日期': '2016-07-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '刘向鹏; 丁义刚; 田东波; 童靖宇; 刘宇明; 向树红; 焦维新; 都亨; 张小达; 肖京华', '起草单位': '; ; ; ', '标准技术委员会': '全国宇航技术及其应用标准化技术委员会(SAC/TC 425)', '中国标准分类号': 'V70', '国际标准分类号': '49_020', '总页数': '36', '纸质版定价': '33'}","{'书名': ['多平台协同制导技术及应用', '阿波罗计划：人类探索月球的故事', '航空大数据', '世界军机涂装历史大百科'], '作者': ['石章松等', '管成学 赵骥民', '管涛', '胡其道']}",,,,,,,
石英振荡器参数的测量.第11部分:负载共振频率fL和有效负载电容CLeff使用自动网络分析技术和误差修正的测定用标准方法.,,,,,,,,,Measurement of quartz crystal unit parameters - Part 11 : standard method for the determination of the load resonance frequency fL and the effective load capacitance CLeff using automatic network analyzer techniques and error correction.,"{'标准号': 'NF C93-621-11-2011', '发布日期': '2011-03-01', '实施或试行日期': '2011-03-02', '国别': '法国', '正文语种': '其他', '中国标准分类号': 'L21', '国际标准分类号': '31_140', '总页数': '17P;A4'}","{'书名': ['EMC电磁兼容设计与测试案例分析（第2版）', '门铃又响了：无线电发明的故事', '5G无线网大规模规划部署实践', '高效宽带双频高线性射频模块设计与实现'], '作者': ['郑军奇', '管成学 赵骥民', '黄云飞 等', '南敬昌#李蕾']}",,,,,,,
石英晶体元件参数的测量.使用自动网络分析技术和纠错法测定负载共振频率L和有效负载电容CLeff的标准方法,,,,,,,,,Measurement of quartz crystal unit parameters. Standard method for the determination of the load resonance frequency L and the effective load capacitance CLeff using automatic network analyzer techniques and error correction,"{'标准号': 'BS EN 60444-11-2010', '发布日期': '2010-12-31', '实施或试行日期': '2010-12-31', '国别': '英国', '正文语种': '英语', '发布单位': '英国标准学会', '起草单位': '', '中国标准分类号': 'L21', '国际标准分类号': '31_140', '总页数': '18P;A4'}","{'书名': ['磁悬浮轨道交通国际研发态势分析', '中国铁路之父：詹天佑的故事', '高铁问答', '高铁简史（英文版）'], '作者': ['先进轨道交通重点专项专题服务组 编著', '管成学 赵骥民', '胡启洲 李香红', '胡启洲 曲思源']}",,,,,,,
"铁路应用设施.用于防范环境影响的有效载荷保护装置用闭合和锁紧装置.耐久性,操作,指示,维护和回收要求",,,,,,,,,"Railway applications - Closing and locking devices for payload protecting devices against environmental influences - Requirements for durability, operation, indication, maintenance, recycling","{'标准号': 'BS EN 15723-2010', '摘要': None, '发布日期': '2010-06-30', '实施或试行日期': '2010-06-30', '国别': '英国', '正文语种': '英语', '发布单位': '英国标准学会', '起草单位': '', '中国标准分类号': 'S50', '国际标准分类号': '45_060_20', '总页数': '32P.;A4'}","{'书名': ['谁“拆”了我的汽车：透视发动机构造与原理', '汽车驾驶不神秘：图解汽车驾驶技术与技巧', '陪你修车每一天 汽车维修技师1080问', '节能与新能源汽车发展报告（2017）'], '作者': ['刘汉涛', '王博', '刘汉涛', '中国汽车技术研究中心']}",,,,,,,
休闲住宿车辆.汽车活动住房.第2部分:乘员有效载荷,,,,,,,,,Leisure accommodation vehicles - Motor caravans - Part 2: User payload; English version of DIN EN 1646-2:2008-09,"{'标准号': 'EN 1646-2-2008', '发布日期': '2008-09', '实施或试行日期': '2008-09-01', '正文语种': '英语', '发布单位': '欧洲标准学会', '中国标准分类号': 'T52', '国际标准分类号': '43_100', '总页数': '10P.;A4'}","{'书名': ['AUTOSAR MCAL的原理与实践', '学车考证通关宝典：新驾考全套资料速查手册', '高端车变速器诊断与维修（案例分析）', '汽车安全驾驶500问'], '作者': ['工业和信息化部人才交流中心', '姚时俊', '王桂成', '刘春晖']}",,,,,,,
休闲住宿车辆.活动住房.第2部分:乘员有效载荷,,,,,,,,,Leisure accommodation vehicles - Caravans - Part 2: User payload; English version of DIN EN 1645-2:2008-09,"{'标准号': 'EN 1645-2-2008', '发布日期': '2008-09', '实施或试行日期': '2008-09-01', '正文语种': '英语', '发布单位': '欧洲标准学会', '中国标准分类号': 'T52', '国际标准分类号': '43_100', '总页数': '10P.;A4'}","{'书名': ['新手上路500问', '汽车电子S32K系列微控制器——基于ARM Cortex-M4F内核', '图解汽车底盘构造与原理', '电动汽车充电站(桩)工程设计'], '作者': ['刘春晖', '王宜怀', '刘春晖', '周志敏 纪爱华']}",,,,,,,
休闲旅居车辆.活动住房.乘员有效载荷,,,,,,,,,Leisure accommodation vehicles - Caravans - User payload,"{'标准号': 'BS EN 1645-2-2008', '发布日期': '2008-07-31', '实施或试行日期': '2008-07-31', '国别': '英国', '正文语种': '英语', '发布单位': '英国标准学会', '起草单位': '', '中国标准分类号': 'T50', '国际标准分类号': '43_100', '总页数': '12P.;A4'}","{'书名': ['MATLAB R2016a智能算法分析与实现30例', '大道至简：Excel这么学最简单', '深度学习500问——AI工程师面试宝典', '欧姆龙 PLC 编程指令与梯形图快速入门'], '作者': ['李晓东', '林屹', '谈继勇', '刘艳伟，张凌寒，张玉光']}",,,,,,,
信息技术.视听对象的编码.第3部分:音频.修改件5:BSAC扩展有效载荷和MPEG环绕的传输,,,,,,,,,Information technology - Coding of audio-visual objects - Part 3: Audio; Amendment 5: BSAC extensions and transport of MPEG Surround,"{'标准号': 'ISO/IEC 14496-3 AMD 5-2007', '摘要': None, '发布日期': '2007-07', '国别': '国际', '正文语种': '英语', '发布单位': '国际标准化组织', '起草单位': '', '中国标准分类号': 'L71', '国际标准分类号': '35_040', '总页数': '25P.;A4'}","{'书名': ['卷烟工业用胶', '农产品精深加工', '自动驾驶理论及在农机中的应用', '农产品信息采集作业场景下的语音识别鲁棒性研究'], '作者': ['熊安言#孙觅', '吴涛', '罗尤春', '赵俊峰 许金普 诸叶平']}",,,,,,,
农用挂车.平衡半悬挂式挂车.有效载荷、垂直静载荷和轴向载荷的测定,,,,,,,,,"Agricultural trailers - Balanced and semi-mounted trailers - Determination of payload, vertical static load and axle load","{'标准号': 'BS ISO 17900-2002', '摘要': None, '发布日期': '2002-08-19', '实施或试行日期': '2002-08-19', '国别': '英国', '正文语种': '英语', '发布单位': '英国标准学会', '起草单位': '', '中国标准分类号': 'B91', '国际标准分类号': '65_060_10', '总页数': '14P;A4'}","{'书名': ['卷烟工业用胶', '北斗在农业生产过程中的应用', '农产品精深加工', '农产品信息采集作业场景下的语音识别鲁棒性研究'], '作者': ['熊安言#孙觅', '吴才聪等', '吴涛', '赵俊峰 许金普 诸叶平']}",,,,,,,
"农业机械.有效载荷,垂直静态载荷,轴向载荷的测定.刚性牵引杆拖车和牵引杆拖车",,,,,,,,,"Agricultural machinery - Determination of playload, vertical static load, axle load - Rigid drawbar trailer, drawbar trailer","{'标准号': 'DIN 11746-1999', '摘要': None, '发布日期': '1999-05', '国别': '德国', '正文语种': '德语', '发布单位': '德国标准化学会', '中国标准分类号': 'B91', '国际标准分类号': '65_060_10', '总页数': '4P;A4'}","{'书名': ['汽车安全驾驶全攻略', '教你如何开好手动挡汽车', '车主必备宝典', '开车养车实用宝典'], '作者': ['吴文琳', '刘汉涛', '徐椿 施红星', '裴保纯']}",,,,,,,
休闲旅居车辆.旅居挂车.使用有效载荷,,,,,,,,,Leisure accommodation vehicles - Caravans - User payloads,"{'标准号': 'BS EN 1645-2-1999', '摘要': None, '发布日期': '1999-02-15', '实施或试行日期': '1999-02-15', '国别': '英国', '正文语种': '英语', '发布单位': '英国标准学会', '起草单位': '', '中国标准分类号': 'T50', '国际标准分类号': '43_100', '总页数': '8P.;A4'}","{'书名': ['FDI技术溢出与产业发展——中国汽车产业中FDI技术溢出效应的测度研究', '中国汽车节能发展报告（2015）', '图解最新汽车正时校对宝典', '汽车电子S32K系列微控制器——基于ARM Cortex-M4F内核'], '作者': ['张建勇', '中国汽车技术研究中心', '韩旭东', '王宜怀']}",,,,,,,
休闲旅居车辆.旅居机动挂车.使用有效载荷,,,,,,,,,Leisure accommodation vehicles - Motor caravans - User payloads,"{'标准号': 'BS EN 1646-2-1999', '废止日期': '2009-01-31', '发布日期': '1999-01-15', '实施或试行日期': '1999-01-15', '国别': '英国', '正文语种': '英语', '发布单位': '英国标准学会', '起草单位': '', '中国标准分类号': 'T50', '国际标准分类号': '43_100', '总页数': '8P;A4'}","{'书名': ['教你如何开好自动挡汽车', '高端车变速器诊断与维修：宝马、路虎、捷豹', '新型汽车正时调整速查手册', '汽车安全驾驶全攻略'], '作者': ['刘汉涛', '戎正玺', '楚建功', '吴文琳']}",,,,,,,
休闲旅游活动食宿车.活动拖挂车.第2部分:用户有效负载,,,,,,,,,Leisure accommodation vehicles - Caravans - Part 2: User payload; German version EN 1645-2:1998,"{'标准号': 'EN 1645-2-1998', '摘要': None, '发布日期': '1998-10', '实施或试行日期': '1998-10-01', '正文语种': '英语', '发布单位': '欧洲标准学会', '中国标准分类号': 'T52', '国际标准分类号': '43_100', '总页数': '7P;A4'}","{'书名': ['LTE教程：机制与流程', '2010年通信理论与信号处理学术年会论文集', 'Learning WebRTC 中文版', '边缘计算光网络'], '作者': ['孙宇彤', '殷福亮等', '（美）丹·里斯蒂克', '李亚杰']}",,,,,,,
圆柱齿轮 有效载荷条件下工作寿命的计算 符合ISO 6336 规定的圆柱齿轮条件,,,,,,,,,Cylindrical gears - Calculation of service life under variable load - Conditions for cylindrical gears in accordance with ISO 6336,"{'标准号': 'ISO/TR 10495-1997', '摘要': None, '发布日期': '1997-09', '国别': '国际', '正文语种': '英语', '发布单位': '国际标准化组织', '起草单位': '', '中国标准分类号': 'J17', '国际标准分类号': '21_200', '总页数': '14P;A4'}","{'书名': ['中国古代物质文化丛书：营造法式', '智能建筑：楼宇自动化系统原理与应用（修订版）', '设计城市——悦宸整体建筑工作室设计方案集', '建筑表皮设计'], '作者': ['〔宋〕李诫', '王再英等', '黄建伟', '江寿国 胡红霞']}",,,,,,,
传输和多路复用.网络元件检查用有效负载配置信息模型,,,,,,,,,Transmission and Multiplexing （TM） - Payload configuration information model for the Network Element （NE） view; English version ETS 300412:1995,"{'标准号': 'DIN ETS 300412-1995', '发布日期': '1995-11', '国别': '德国', '正文语种': '德语', '发布单位': '德国标准化学会', '中国标准分类号': 'M11', '国际标准分类号': '33_040_20', '总页数': '13P.;A4'}","{'书名': ['指尖上的革命：移动智能终端', 'LTE工程师入场考题解析', '安全简史——从隐私保护到量子密码', '城市交通控制理论与方法'], '作者': ['李婷等', '信世为科技', '杨义先', '王殿海，金盛，马东方，别一鸣，祁宏生']}",,,,,,,
建筑物设计负荷:有效载荷.建筑物不易受振动的风力载荷:修改件1:修改值,,,,,,,,,Design loads buildings; live loads; wind loads an structures not suspectible to vibrations; amendment 1; corrections,"{'标准号': 'DIN 1055-4/A1-1987', '发布日期': '1987-06', '国别': '德国', '正文语种': '德语', '发布单位': '德国标准化学会', '中国标准分类号': 'P20', '国际标准分类号': '91_010_30', '总页数': '2P;A4'}","{'书名': ['电磁兼容（EMC）设计与测试之电视电声产品', '5G来了：5G如何改变生活、社会和产业', '高可靠性电子装备PCBA设计缺陷案例分析及可制造性设计', '蜂窝网络在线频率分配'], '作者': ['陈立辉 主编', '蔡余杰', '陈正浩', '杨超']}",,,,,,,
电信.同步光纤网（SONET）.有效载荷映射（基于GFP信号的映射）,,,,,,,,,Telecommunications - Synchronous Optical Network （SONET） - Payload Mappings （Mappings for GFP-based Signals）,"{'标准号': 'ANSI T1.105.02a-2002', '发布日期': '2002', '国别': '美国', '正文语种': '英语', '发布单位': '美国国家标准学会', '起草单位': '', '中国标准分类号': 'M33', '国际标准分类号': '33_040_50'}","{'书名': [], '作者': []}",,,,,,,
电信.同步光纤网（SONET）.有效载荷映射,,,,,,,,,Telecommunications - Synchronous Optical Network （SONET） - Payload Mappings,"{'标准号': 'ANSI T1.105.02-2001', '发布日期': '2001', '国别': '美国', '正文语种': '英语', '发布单位': '美国国家标准学会', '起草单位': '', '中国标准分类号': 'M33', '国际标准分类号': '33_040_50'}","{'书名': [], '作者': []}",,,,,,,
同步光纤网络（SONET）.有效载荷绘图,,,,,,,,,Synchronous Optical Network （SONET） - Payload Mappings,"{'标准号': 'ANSI ATIS0900105.02-2007', '摘要': None, '发布日期': '2007', '国别': '美国', '正文语种': '英语', '发布单位': '美国国家标准学会', '起草单位': '', '中国标准分类号': 'M11', '国际标准分类号': '33_040_50'}","{'书名': [], '作者': []}",,,,,,,
空间科学及其应用术语 第3部分：空间天文,,,,,,,,,Terminology for space science and application—Part 3:Space astronomy,"{'标准号': 'GB/T 30114.3-2014', '标准性质': '推荐性', '发布日期': '2014-12-05', '实施日期': '2015-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '宋黎明; 黄跃; 邓劲松; 崔辰州; 许春; 张楠; 朱青峰; 杨建峰; 徐鹤; 聂建胤; 贾淑梅; 张娟; 郑世界; 葛明玉', '起草单位': '; ; ; ; ; ', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '24', '纸质版定价': '24'}","{'书名': ['挺进太空：中国载人航天纪事', '世界军机涂装历史大百科', '天空地一体化自组织网络导航技术及应用', '中国航空史话'], '作者': ['兰宁远', '胡其道', '巩应奎 薛瑞', '沈海军']}",,,,,,,
空间科学及其应用术语 第2部分：空间物理,,,,,,,,,Terminology for space science and application—Part 2:Space physics,"{'标准号': 'GB/T 30114.2-2014', '标准性质': '推荐性', '发布日期': '2014-12-05', '实施日期': '2015-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '张东和; 傅绥燕; 魏勇; 蔡磊; 胡仲旻; 李灵樨; 刘立波; 陈一定; 徐寄遥; 刘晓; 陈光明; 师立勤; 李志陶; 吕建永; 赵明现; 王华宁; 贺晗', '起草单位': '; ; ; ; ', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '20', '纸质版定价': '21'}","{'书名': ['卫星轨道理论与应用', '天空地一体化自组织网络导航技术及应用', '国产遥感卫星进展与应用实例', '宇航员传奇'], '作者': ['刘林 汤靖师', '巩应奎 薛瑞', '胡如忠，刘雪萍，楚良才等', '[英] BBC《仰望夜空》（Sky at Night）杂志']}",,,,,,,
空间科学及其应用术语 第5部分：空间生命科学和生物技术,,,,,,,,,Terminology for space science and application—Part 5:Space life science and biotechnology,"{'标准号': 'GB/T 30114.5-2014', '标准性质': '推荐性', '发布日期': '2014-12-05', '实施日期': '2015-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '庄逢源; 江丕栋; 丰美福; 刘志恒; 赵琦; 商澎', '起草单位': '; ; ; ; ; ', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '24', '纸质版定价': '24'}","{'书名': ['国产遥感卫星进展与应用实例', '阿波罗计划：人类探索月球的故事', '航空保障装备系统工程', '国际空间站鉴定和验收环境试验要求'], '作者': ['胡如忠，刘雪萍，楚良才等', '管成学 赵骥民', '张亮 等', '李福秋等']}",,,,,,,
空间科学及其应用术语 第4部分：月球与行星科学,,,,,,,,,Terminology for space science and application—Part 4:Lunar and planetary science,"{'标准号': 'GB/T 30114.4-2014', '标准性质': '推荐性', '发布日期': '2014-12-05', '实施日期': '2015-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '李春来; 牟伶俐; 张广良; 苏彦; 刘建军; 左维; 温卫斌; 孔德庆; 王芳; 张舟斌; 耿良', '起草单位': '', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '24', '纸质版定价': '24'}","{'书名': ['参考坐标系及航天应用', '人类飞行的历程：美国史密森国家航空航天博物馆100种珍藏', '多旋翼无人机的设计与制作', '国际空间站鉴定和验收环境试验要求'], '作者': ['黄珹，刘林', '[美]美国国家航空航天博物馆 #徐大军 李俊', '陆元杰', '李福秋等']}",,,,,,,
空间科学及其应用术语 第7部分：微重力科学,,,,,,,,,Terminology for space science and application—Part 7:Microgravity science,"{'标准号': 'GB/T 30114.7-2014', '标准性质': '推荐性', '发布日期': '2014-12-05', '实施日期': '2015-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '康琦; 段俐; 王双峰; 潘明祥; 魏炳忱; 张元仲; 张海潮; 周泽兵; 胡良', '起草单位': '; ; ; ; ', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '44', '纸质版定价': '39'}","{'书名': ['航空模型设计与制作', '多旋翼无人机的设计与制作', 'NASA系统工程手册', '世界军机涂装历史大百科'], '作者': ['张成茂', '陆元杰', '朱一凡 等', '胡其道']}",,,,,,,
空间科学及其应用术语 第6部分：航天医学,,,,,,,,,Terminology for space science and application—Part 6:Space medicine,"{'标准号': 'GB/T 30114.6-2014', '标准性质': '推荐性', '发布日期': '2014-12-05', '实施日期': '2015-04-01', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '吴大蔚; 曹瑞霙; 李莹辉; 黄伟芬; 吴斌; 李勇枝; 王林杰; 白树民; 员丽霞; 田立平; 盖宇清; 何新星; 王惠娟', '起草单位': '', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '20', '纸质版定价': '21'}","{'书名': ['人类飞行的历程：美国史密森国家航空航天博物馆100种珍藏', '国产遥感卫星进展与应用实例', '第一届空中交通管理系统技术学术年会论文集', '飞行控制系统的自愈合控制'], '作者': ['[美]美国国家航空航天博物馆 #徐大军 李俊', '胡如忠，刘雪萍，楚良才等', '中国指挥与控制学会', '陈复扬，王瑾']}",,,,,,,
空间科学及其应用术语 第1部分：基础通用,,,,,,,,,Terminology for space science and application—Part 1:General,"{'标准号': 'GB/T 30114.1-2013', '标准性质': '推荐性', '发布日期': '2013-12-17', '实施日期': '2014-07-15', '发布单位': '中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会', '起草人': '张玉涵; 郭炯; 庄逢源; 张东和; 宋黎明; 康琦; 曹瑞英; 牟伶俐', '起草单位': '; ; ; ; ; ; ', '标准技术委员会': '全国空间科学及其应用标准化技术委员会(SAC/TC 312)', '中国标准分类号': 'V04', '国际标准分类号': '01_040_49', '总页数': '28', '纸质版定价': '27'}","{'书名': ['阿波罗计划：人类探索月球的故事', '挺进太空：中国载人航天纪事', '空心杯四旋翼飞行器设计与应用', '国产遥感卫星进展与应用实例'], '作者': ['管成学 赵骥民', '兰宁远', '彭建盛', '胡如忠，刘雪萍，楚良才等']}",,,,,,,
空间数据和信息传输系统.空间链路扩展.传输服务的应用程序接口.核心规范,,,,,,,,,Space data and information transfer systems - Space Link Extension - Application Program Interface for Transfer Services - Core Specification,"{'标准号': 'ISO 18441-2013', '发布日期': '2013-06', '国别': '国际', '正文语种': '英语', '发布单位': '国际标准化组织', '起草单位': '', '国际标准分类号': '49_140', '总页数': '371P;A4'}","{'书名': ['宇航员传奇', '多旋翼无人机的设计与制作', '北斗卫星导航原理与系统', '航空保障装备系统工程'], '作者': ['[英] BBC《仰望夜空》（Sky at Night）杂志', '陆元杰', '范录宏 皮亦鸣 李晋', '张亮 等']}",,,,,,,
空间数据和信息传输系统.空间链接扩展.返回所有帧服务的应用程序接口,,,,,,,,,Space data and information transfer systems - Space Link Extension - Application Program Interface for Return All Frames Service,"{'标准号': 'ISO 18442-2013', '发布日期': '2013-06', '国别': '国际', '正文语种': '英语', '发布单位': '国际标准化组织', '起草单位': '', '国际标准分类号': '49_140', '总页数': '66P;A4'}","{'书名': ['多旋翼无人机的设计与制作', '第一届空中交通管理系统技术学术年会论文集', '阿波罗计划：人类探索月球的故事', '卫星轨道理论与应用'], '作者': ['陆元杰', '中国指挥与控制学会', '管成学 赵骥民', '刘林 汤靖师']}",,,,,,,
空间数据和信息传输系统.空间链路扩展.返回信道帧服务的应用程序接口,,,,,,,,,Space data and information transfer systems - Space Link Extension - Application Program Interface for Return Channel Frames Service,"{'标准号': 'ISO 18443-2013', '发布日期': '2013-06', '国别': '国际', '正文语种': '英语', '发布单位': '国际标准化组织', '起草单位': '', '国际标准分类号': '49_140', '总页数': '67P;A4'}","{'书名': ['全球航天器大图解', '宇航员传奇', '航空模型设计与制作', '飞行控制系统的自愈合控制'], '作者': ['经纬智库', '[英] BBC《仰望夜空》（Sky at Night）杂志', '张成茂', '陈复扬，王瑾']}",,,,,,,
空间数据和信息传递系统.空间链路扩展.回程操作控制场业务的应用程序接口,,,,,,,,,Space data and information transfer systems - Space Link Extension - Application Program Interface for Return Operational Control Fields Service,"{'标准号': 'ISO 18444-2013', '发布日期': '2013-06', '国别': '国际', '正文语种': '英语', '发布单位': '国际标准化组织', '起草单位': '', '国际标准分类号': '49_140', '总页数': '76P;A4'}","{'书名': ['宇航员传奇', '全球航天器大图解', '世界军机涂装历史大百科', '基于涵道式单旋翼的无人飞行器研究'], '作者': ['[英] BBC《仰望夜空》（Sky at Night）杂志', '经纬智库', '胡其道', '任小璐']}",,,,,,,
